trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
TRD00039,9,8,FX,BUY,3037.4075,4843.8597,2026-07-10,PENDING
TRD00040,12,9,EQUITY,SELL,665.9362,2925.0462,2026-06-14,PENDING
TRD00041,15,9,FX,BUY,9611.7111,409.7562,2026-06-04,PENDING
TRD00042,2,10,EQUITY,BUY,4097.378,4708.5647,2026-04-24,PENDING
TRD00043,4,10,EQUITY,BUY,4250.3267,2922.5247,2026-06-12,PENDING
TRD00044,6,5,FX,SELL,2462.9909,1984.9714,2026-06-06,PENDING
TRD00045,11,5,DERIVATIVE,SELL,9297.2815,4679.3141,2026-06-25,PENDING
TRD00046,8,10,EQUITY,BUY,5422.5806,2534.3646,2026-04-02,PENDING
TRD00047,15,6,EQUITY,BUY,3758.3182,797.1567,2026-04-17,PENDING
TRD00048,9,5,EQUITY,SELL,9324.3848,526.8966,2026-07-16,PENDING
TRD00049,3,5,EQUITY,BUY,7449.9252,785.6851,2026-07-22,PENDING
TRD00050,10,4,BOND,BUY,6906.2216,4266.0349,2026-05-07,PENDING
TRD00051,8,5,EQUITY,BUY,6379.416,4148.447,2026-06-04,PENDING
TRD00052,1,6,FX,SELL,1699.6616,2214.7592,2026-04-06,PENDING
TRD00053,7,9,EQUITY,BUY,844.9142,4416.7009,2026-06-30,PENDING
TRD00054,3,9,EQUITY,SELL,5866.8447,748.988,2026-07-25,PENDING
TRD00055,1,5,BOND,BUY,8999.3539,1058.2819,2026-04-17,PENDING
TRD00056,11,2,BOND,SELL,9740.9865,3749.8933,2026-05-02,PENDING
TRD00057,15,4,FX,BUY,8826.0204,133.6839,2026-07-28,PENDING
TRD00058,15,6,DERIVATIVE,BUY,2741.3765,3938.9988,2026-07-04,PENDING
TRD00059,7,1,DERIVATIVE,BUY,2075.771,4593.075,2026-04-14,PENDING
TRD00060,5,4,FX,BUY,6634.3285,1998.3452,2026-05-15,PENDING
TRD00061,14,2,BOND,SELL,6450.6692,2004.3951,2026-05-06,PENDING
TRD00062,9,6,EQUITY,BUY,8782.6803,1313.4638,2026-07-17,PENDING
TRD00063,5,1,EQUITY,SELL,3522.3024,3934.2766,2026-06-14,PENDING
TRD00064,10,9,EQUITY,SELL,9005.0969,958.4931,2026-05-26,PENDING
TRD00065,12,7,EQUITY,BUY,3705.7926,359.1693,2026-04-06,PENDING
TRD00066,15,6,BOND,BUY,7225.5672,1508.6081,2026-06-25,PENDING
TRD00067,11,7,BOND,SELL,7002.3633,2776.5183,2026-05-10,PENDING
TRD00068,7,7,FX,SELL,4120.1442,4170.2886,2026-04-25,PENDING
TRD00069,5,4,DERIVATIVE,SELL,4703.3831,2216.3774,2026-05-09,PENDING
TRD00070,9,8,FX,BUY,2909.4854,3322.6306,2026-04-28,PENDING
TRD00071,6,2,FX,SELL,2323.9426,1003.6584,2026-06-19,PENDING
TRD00072,1,4,DERIVATIVE,BUY,4608.6201,4431.8232,2026-04-04,PENDING
TRD00073,4,7,DERIVATIVE,SELL,2515.446,3283.7295,2026-06-13,PENDING
TRD00074,15,2,DERIVATIVE,BUY,1841.2781,4790.2506,2026-04-01,PENDING
TRD00075,8,1,FX,BUY,4618.9721,4009.0688,2026-06-06,PENDING
TRD00076,9,9,BOND,SELL,6165.258,3599.1771,2026-06-25,PENDING
TRD00077,7,9,DERIVATIVE,BUY,7462.1889,2378.6254,2026-06-04,PENDING
TRD00078,13,4,BOND,SELL,6304.8095,1380.2413,2026-05-04,PENDING
TRD00079,12,5,FX,SELL,3424.8906,4466.2039,2026-04-10,PENDING
TRD00080,3,3,FX,SELL,6970.1031,3535.0315,2026-04-11,PENDING
TRD00081,7,7,BOND,SELL,4216.1649,1042.1036,2026-04-09,PENDING
TRD00082,7,10,EQUITY,SELL,4822.0994,4714.2809,2026-05-24,PENDING
TRD00083,13,7,DERIVATIVE,BUY,4933.4718,1371.9472,2026-05-09,PENDING
TRD00084,1,7,BOND,SELL,7269.3956,4204.1233,2026-06-02,PENDING
TRD00085,3,10,EQUITY,SELL,5959.7385,3318.3688,2026-07-27,PENDING
TRD00086,11,7,FX,SELL,1899.1174,1308.18,2026-04-11,PENDING
TRD00087,4,8,BOND,SELL,7636.1741,1901.8398,2026-05-12,PENDING
TRD00088,14,7,BOND,BUY,4756.0377,3747.6311,2026-07-06,PENDING
TRD00089,6,4,EQUITY,BUY,7566.9087,4748.5625,2026-04-07,PENDING
TRD00090,14,1,FX,BUY,1349.5877,3350.5996,2026-04-26,PENDING
TRD00091,4,8,BOND,SELL,1761.1125,3040.165,2026-06-12,PENDING
TRD00092,12,2,FX,SELL,1170.1776,138.1353,2026-07-05,PENDING
TRD00093,10,7,DERIVATIVE,BUY,852.3651,3456.1659,2026-05-10,PENDING
TRD00094,4,2,BOND,BUY,7982.6494,2834.0035,2026-06-20,PENDING
TRD00095,6,9,DERIVATIVE,SELL,782.6717,3241.2408,2026-04-06,PENDING
TRD00096,14,7,DERIVATIVE,BUY,4391.8817,1817.3183,2026-04-02,PENDING
TRD00097,14,8,FX,SELL,1843.7559,2613.5163,2026-07-24,PENDING
TRD00098,5,10,DERIVATIVE,SELL,4412.1875,3657.8208,2026-06-23,PENDING
TRD00099,6,4,EQUITY,SELL,8828.1487,1226.8786,2026-05-05,PENDING
TRD00100,10,10,DERIVATIVE,SELL,384.13,4256.2547,2026-05-30,PENDING
TRD00101,8,4,BOND,SELL,3469.3545,4402.7967,2026-04-24,PENDING
TRD00102,15,5,EQUITY,BUY,947.5683,3603.1726,2026-06-29,PENDING
TRD00103,9,4,DERIVATIVE,SELL,4536.928,96.0439,2026-06-02,PENDING
TRD00104,4,7,FX,SELL,6673.2042,1851.412,2026-05-08,PENDING
TRD00105,9,6,DERIVATIVE,SELL,3582.9242,2274.1889,2026-06-10,PENDING
TRD00106,5,4,EQUITY,BUY,3223.9246,3716.9765,2026-05-10,PENDING
TRD00107,13,3,FX,BUY,7412.1861,1389.7331,2026-07-31,PENDING
TRD00108,13,9,BOND,BUY,8343.0208,1488.2699,2026-06-15,PENDING
TRD00109,3,5,EQUITY,BUY,2815.6821,4871.7317,2026-05-17,PENDING
TRD00110,5,3,DERIVATIVE,BUY,8739.9254,2874.5805,2026-06-10,PENDING
TRD00111,8,8,BOND,BUY,9658.4267,1269.8672,2026-05-31,PENDING
TRD00112,8,2,EQUITY,SELL,4968.2909,2889.3356,2026-07-20,PENDING
TRD00113,1,3,FX,SELL,943.291,1248.4729,2026-06-27,PENDING
TRD00114,13,7,FX,SELL,4560.0932,2219.1778,2026-06-11,PENDING
TRD00115,10,7,BOND,BUY,6135.346,3703.0456,2026-07-20,PENDING
TRD00116,13,4,FX,SELL,6638.2386,793.7149,2026-07-31,PENDING
TRD00117,9,2,FX,BUY,4144.324,3449.962,2026-04-23,PENDING
TRD00118,5,1,FX,SELL,7098.8627,3517.9079,2026-05-31,PENDING
TRD00119,2,4,BOND,BUY,4308.8758,2727.3663,2026-05-29,PENDING
TRD00120,3,5,FX,BUY,690.4166,3965.2165,2026-06-22,PENDING
TRD00121,12,10,BOND,SELL,1331.1012,3446.5032,2026-06-16,PENDING
TRD00122,7,5,DERIVATIVE,SELL,896.3743,208.9053,2026-06-29,PENDING
TRD00123,12,6,BOND,BUY,1004.1362,4809.9364,2026-05-26,PENDING
TRD00124,14,10,EQUITY,SELL,5804.8451,3817.9139,2026-07-17,PENDING
TRD00125,8,9,DERIVATIVE,SELL,1896.7426,2930.7948,2026-04-23,PENDING
TRD00126,14,8,EQUITY,SELL,3544.8145,1673.2089,2026-06-21,PENDING
TRD00127,2,3,BOND,SELL,6967.3694,1448.2068,2026-06-25,PENDING
TRD00128,7,9,EQUITY,SELL,971.7919,1269.4703,2026-07-30,PENDING
TRD00129,13,7,EQUITY,SELL,4191.151,946.0369,2026-04-15,PENDING
TRD00130,10,8,DERIVATIVE,BUY,2115.2266,2750.606,2026-05-17,PENDING
TRD00131,5,8,DERIVATIVE,BUY,385.8075,3153.8112,2026-07-28,PENDING
TRD00132,4,3,BOND,BUY,5567.2889,475.1139,2026-07-12,PENDING
TRD00133,15,2,DERIVATIVE,BUY,6512.3259,778.3159,2026-07-17,PENDING
TRD00134,12,5,BOND,SELL,8363.7671,4901.4207,2026-07-29,PENDING
TRD00135,8,9,FX,SELL,1987.0427,3000.8942,2026-05-02,PENDING
TRD00136,15,3,EQUITY,SELL,7749.4838,4273.5178,2026-07-05,PENDING
TRD00137,15,9,BOND,BUY,2900.1059,1499.7937,2026-05-14,PENDING
TRD00138,10,8,FX,SELL,5431.9477,1732.1685,2026-06-15,PENDING
TRD00139,13,9,DERIVATIVE,SELL,9335.2373,4349.3124,2026-06-10,PENDING
TRD00140,4,10,DERIVATIVE,BUY,8574.5285,2059.7677,2026-06-29,PENDING
TRD00141,12,8,DERIVATIVE,SELL,9885.2986,3964.0444,2026-05-11,PENDING
TRD00142,3,8,EQUITY,BUY,5072.6824,2955.0003,2026-06-23,PENDING
TRD00143,2,8,EQUITY,SELL,251.9412,729.3355,2026-07-21,PENDING
TRD00144,11,3,EQUITY,SELL,7837.1004,1332.4637,2026-07-21,PENDING
TRD00145,12,7,EQUITY,SELL,8538.1792,4298.1175,2026-06-19,PENDING
TRD00146,6,8,EQUITY,BUY,2424.2254,3425.1539,2026-05-19,PENDING
TRD00147,4,2,DERIVATIVE,BUY,7627.66,3522.4152,2026-05-07,PENDING
TRD00148,8,3,BOND,BUY,555.3106,3982.7559,2026-04-13,PENDING
TRD00149,6,6,DERIVATIVE,BUY,2517.5546,2066.1382,2026-05-08,PENDING
TRD00150,13,3,FX,BUY,881.7867,4355.4896,2026-06-27,PENDING
TRD00151,11,4,DERIVATIVE,BUY,2398.6656,3193.1441,2026-06-19,PENDING
TRD00152,5,1,DERIVATIVE,SELL,6808.3478,798.2984,2026-05-29,PENDING
TRD00153,6,10,BOND,SELL,6934.1038,2289.6107,2026-05-27,PENDING
TRD00154,4,7,DERIVATIVE,BUY,2448.3364,2863.8942,2026-05-09,PENDING
TRD00155,5,5,EQUITY,SELL,2817.3558,2833.9858,2026-06-13,PENDING
TRD00156,13,1,DERIVATIVE,SELL,7779.8357,1158.2908,2026-06-27,PENDING
TRD00157,6,4,FX,SELL,6809.8681,3607.4326,2026-07-12,PENDING
TRD00158,11,3,EQUITY,BUY,3158.4356,2209.7077,2026-06-24,PENDING
TRD00159,6,3,EQUITY,SELL,3334.5193,2083.3604,2026-06-14,PENDING
TRD00160,3,9,BOND,SELL,8321.6789,1292.2807,2026-04-26,PENDING
TRD00161,8,5,BOND,BUY,4736.4807,385.7438,2026-07-15,PENDING
TRD00162,4,7,BOND,BUY,7927.7515,79.4541,2026-07-06,PENDING
TRD00163,2,8,BOND,SELL,5887.1449,4113.8623,2026-06-08,PENDING
TRD00164,6,2,FX,SELL,347.744,4422.3319,2026-07-30,PENDING
TRD00165,6,10,FX,BUY,6390.4988,2326.695,2026-06-11,PENDING
TRD00166,5,7,EQUITY,BUY,548.9334,195.6885,2026-06-29,PENDING
TRD00167,2,2,FX,BUY,3947.5937,1861.3475,2026-06-03,PENDING
TRD00168,12,9,DERIVATIVE,BUY,8865.5965,3278.0603,2026-07-31,PENDING
TRD00169,8,10,DERIVATIVE,SELL,423.8912,1858.9445,2026-07-16,PENDING
TRD00170,8,4,BOND,BUY,9811.1844,1843.0014,2026-05-27,PENDING
TRD00171,11,6,EQUITY,SELL,2831.2263,4841.3523,2026-07-25,PENDING
TRD00172,14,8,EQUITY,BUY,6452.8742,2989.7583,2026-07-31,PENDING
TRD00173,1,6,FX,BUY,7891.0832,1033.9758,2026-04-03,PENDING
TRD00174,13,9,FX,BUY,8149.2245,1172.6634,2026-07-16,PENDING
TRD00175,3,10,EQUITY,SELL,8598.2207,731.993,2026-07-09,PENDING
TRD00176,9,5,FX,BUY,6644.4707,138.6429,2026-04-17,PENDING
TRD00177,6,4,BOND,BUY,1825.0374,271.4711,2026-04-02,PENDING
TRD00178,7,9,EQUITY,BUY,4814.8351,3892.305,2026-07-04,PENDING
TRD00179,10,2,DERIVATIVE,BUY,9459.6149,226.3915,2026-06-05,PENDING
TRD00180,15,9,BOND,SELL,6469.0728,165.4417,2026-07-10,PENDING
TRD00181,14,7,DERIVATIVE,BUY,4953.6617,4549.4071,2026-06-01,PENDING
TRD00182,15,2,BOND,BUY,750.2541,1382.3298,2026-04-10,PENDING
TRD00183,10,9,BOND,SELL,9946.8148,2657.4786,2026-06-21,PENDING
TRD00184,9,10,DERIVATIVE,BUY,7951.6513,580.9262,2026-05-29,PENDING
TRD00185,11,9,FX,SELL,4570.3937,1150.1829,2026-06-23,PENDING
TRD00186,14,8,DERIVATIVE,SELL,7323.1638,1569.6163,2026-05-14,PENDING
TRD00187,11,5,BOND,BUY,6899.5283,2376.5967,2026-05-11,PENDING
TRD00188,14,2,EQUITY,SELL,1055.9879,3696.592,2026-04-12,PENDING
TRD00189,3,9,EQUITY,SELL,6733.1313,2059.9351,2026-07-13,PENDING
TRD00190,11,7,EQUITY,SELL,6044.0599,1764.7145,2026-07-21,PENDING
TRD00191,9,4,FX,SELL,2320.0242,550.0097,2026-06-13,PENDING
TRD00192,9,6,EQUITY,SELL,5783.59,4038.0346,2026-07-18,PENDING
TRD00193,9,10,EQUITY,SELL,386.6365,1373.6192,2026-07-18,PENDING
TRD00194,5,6,BOND,BUY,1895.915,724.8249,2026-07-07,PENDING
TRD00195,7,2,FX,BUY,1008.4011,2657.1086,2026-06-24,PENDING
TRD00196,7,8,BOND,BUY,3763.5256,3610.7639,2026-05-19,PENDING
TRD00197,10,10,EQUITY,BUY,1640.241,3774.635,2026-07-09,PENDING
TRD00198,11,2,BOND,SELL,6653.1931,2433.4519,2026-04-07,PENDING
TRD00199,7,5,FX,BUY,3517.2113,563.34,2026-05-27,PENDING
TRD00200,11,10,DERIVATIVE,SELL,549.6319,1982.3643,2026-06-26,PENDING
TRD00201,1,1,FX,SELL,9458.7085,3839.0741,2026-06-16,PENDING
TRD00202,5,5,BOND,BUY,176.5261,3737.6005,2026-07-07,PENDING
TRD00203,3,7,FX,SELL,813.5474,4310.2042,2026-04-23,PENDING
TRD00204,7,1,DERIVATIVE,BUY,8634.8891,2883.0382,2026-04-06,PENDING
TRD00205,7,7,BOND,BUY,4109.8198,4831.3365,2026-06-13,PENDING
TRD00206,13,10,DERIVATIVE,SELL,972.4858,4223.977,2026-04-22,PENDING
TRD00207,7,10,DERIVATIVE,BUY,4018.0903,1558.2701,2026-05-02,PENDING
TRD00208,4,6,FX,BUY,5153.7845,578.9929,2026-05-14,PENDING
TRD00209,4,6,BOND,BUY,2439.0616,740.7566,2026-06-05,PENDING
TRD00210,3,10,FX,BUY,1853.7467,3866.512,2026-04-26,PENDING
TRD00211,8,10,DERIVATIVE,SELL,8656.0441,3139.8149,2026-06-03,PENDING
TRD00212,8,2,DERIVATIVE,SELL,6350.7127,3983.6851,2026-04-20,PENDING
TRD00213,1,6,EQUITY,SELL,4671.2506,197.6602,2026-06-15,PENDING
TRD00214,14,5,EQUITY,BUY,6188.583,2540.2684,2026-05-18,PENDING
TRD00215,10,9,EQUITY,SELL,9099.5946,2862.5669,2026-05-30,PENDING
TRD00216,6,10,DERIVATIVE,BUY,9581.4514,2258.1103,2026-04-25,PENDING
TRD00217,15,6,EQUITY,BUY,487.507,3541.0323,2026-07-13,PENDING
TRD00218,9,9,FX,SELL,3791.2346,1421.639,2026-05-27,PENDING
TRD00219,13,6,EQUITY,SELL,752.5274,481.5847,2026-05-23,PENDING
TRD00220,7,5,BOND,BUY,3400.2842,2917.8702,2026-06-26,PENDING
TRD00221,15,6,BOND,SELL,1376.6214,3547.0817,2026-04-19,PENDING
TRD00222,5,9,DERIVATIVE,SELL,8150.5294,3353.8808,2026-04-11,PENDING
TRD00223,12,9,EQUITY,SELL,5134.036,100.9704,2026-07-16,PENDING
TRD00224,3,4,BOND,SELL,2000.8518,4999.8833,2026-05-10,PENDING
TRD00225,2,5,EQUITY,BUY,6653.0994,4383.1999,2026-04-20,PENDING
TRD00226,3,10,DERIVATIVE,BUY,1706.2474,4158.4118,2026-06-19,PENDING
TRD00227,10,3,DERIVATIVE,BUY,4167.5003,3385.051,2026-07-08,PENDING
TRD00228,8,10,BOND,SELL,2416.6291,1203.4508,2026-05-01,PENDING
TRD00229,13,8,FX,SELL,6815.2376,2856.3928,2026-07-13,PENDING
TRD00230,8,5,DERIVATIVE,SELL,9666.0547,4086.2873,2026-05-27,PENDING
TRD00231,10,3,BOND,BUY,6447.6725,4371.8436,2026-07-12,PENDING
TRD00232,15,2,EQUITY,SELL,930.3637,809.9585,2026-06-10,PENDING
TRD00233,15,9,FX,SELL,1007.9643,4553.4197,2026-05-28,PENDING
TRD00234,8,6,EQUITY,SELL,627.2432,2515.0155,2026-07-14,PENDING
TRD00235,7,2,BOND,BUY,379.0567,4654.8213,2026-05-01,PENDING
TRD00236,12,6,FX,BUY,479.2016,4587.8069,2026-07-17,PENDING
TRD00237,12,3,DERIVATIVE,SELL,6191.9477,4530.2289,2026-05-31,PENDING
TRD00238,5,4,FX,SELL,1200.7499,1447.6269,2026-04-03,PENDING
TRD00239,2,1,FX,SELL,6425.6221,3117.8247,2026-05-09,PENDING
TRD00240,2,8,EQUITY,BUY,7213.5888,1463.4472,2026-04-09,PENDING
TRD00241,10,6,FX,SELL,1954.4077,3344.3924,2026-04-01,PENDING
TRD00242,6,2,EQUITY,SELL,8745.9812,227.2368,2026-06-07,PENDING
TRD00243,6,5,EQUITY,SELL,7906.3482,1730.5644,2026-05-20,PENDING
TRD00244,11,2,BOND,BUY,538.9233,2734.6086,2026-07-03,PENDING
TRD00245,11,3,DERIVATIVE,SELL,6354.1849,4059.3734,2026-07-14,PENDING
TRD00246,12,8,EQUITY,SELL,2095.7508,3957.635,2026-04-09,PENDING
TRD00247,1,6,BOND,SELL,9892.3148,2719.7232,2026-07-23,PENDING
TRD00248,1,4,BOND,SELL,8635.1715,248.5421,2026-05-03,PENDING
TRD00249,6,5,EQUITY,SELL,4425.8187,2006.1087,2026-06-23,PENDING
TRD00250,15,7,BOND,BUY,5012.4119,2492.6417,2026-05-27,PENDING
TRD00251,13,9,BOND,BUY,7298.1051,403.8458,2026-07-28,PENDING
TRD00252,14,3,BOND,SELL,1115.7193,1646.3203,2026-06-17,PENDING
TRD00253,5,8,DERIVATIVE,BUY,6928.6716,1764.2194,2026-05-08,PENDING
TRD00254,12,6,DERIVATIVE,SELL,6430.7462,3959.4744,2026-04-06,PENDING
TRD00255,2,7,BOND,BUY,9532.615,722.4695,2026-04-08,PENDING
TRD00256,11,8,EQUITY,BUY,765.6103,3894.7917,2026-06-17,PENDING
TRD00257,6,7,EQUITY,BUY,6822.7144,4744.6294,2026-05-17,PENDING
TRD00258,8,2,FX,SELL,4040.5371,3251.3081,2026-05-18,PENDING
TRD00259,2,1,FX,SELL,5225.6782,4568.5771,2026-05-02,PENDING
TRD00260,5,5,DERIVATIVE,BUY,9964.0146,1435.0286,2026-04-16,PENDING
TRD00261,8,4,EQUITY,BUY,8542.9803,2265.693,2026-07-27,PENDING
TRD00262,12,8,EQUITY,SELL,6711.6139,3550.607,2026-07-25,PENDING
TRD00263,9,5,BOND,BUY,7146.9101,4637.349,2026-06-10,PENDING
TRD00264,3,6,FX,BUY,9852.8122,3962.4077,2026-06-21,PENDING
TRD00265,13,8,EQUITY,SELL,5584.8122,1850.8667,2026-05-01,PENDING
TRD00266,9,3,EQUITY,BUY,3161.9781,4997.9793,2026-07-12,PENDING
TRD00267,8,9,DERIVATIVE,SELL,8251.0601,378.0161,2026-07-02,PENDING
TRD00268,11,2,DERIVATIVE,SELL,6833.079,1729.1288,2026-05-11,PENDING
TRD00269,14,9,FX,BUY,4382.921,4554.4542,2026-07-22,PENDING
TRD00270,14,2,FX,SELL,1730.1051,1620.0771,2026-04-08,PENDING
TRD00271,4,6,BOND,BUY,2580.9926,3178.9349,2026-06-30,PENDING
TRD00272,5,3,BOND,BUY,5075.4741,851.4931,2026-06-10,PENDING
TRD00273,10,3,FX,SELL,8441.047,2822.454,2026-07-30,PENDING
TRD00274,14,1,EQUITY,BUY,9490.6139,3857.4016,2026-07-15,PENDING
TRD00275,11,4,DERIVATIVE,BUY,5030.5768,3139.5484,2026-05-04,PENDING
TRD00276,11,5,DERIVATIVE,BUY,8066.4127,3428.1043,2026-05-08,PENDING
TRD00277,8,2,EQUITY,BUY,4452.0944,2426.4131,2026-05-09,PENDING
TRD00278,6,10,FX,SELL,8628.7023,1603.3888,2026-04-27,PENDING
TRD00279,6,7,FX,SELL,5198.3033,539.8578,2026-07-20,PENDING
TRD00280,8,2,BOND,SELL,2554.3969,493.0901,2026-05-01,PENDING
TRD00281,7,10,DERIVATIVE,BUY,9630.5899,4512.531,2026-05-08,PENDING
TRD00282,6,10,BOND,BUY,7654.9016,2496.3451,2026-07-14,PENDING
TRD00283,8,8,BOND,SELL,329.4454,4726.7117,2026-06-05,PENDING
TRD00284,8,4,FX,SELL,581.7155,1413.9681,2026-06-04,PENDING
TRD00285,15,8,BOND,BUY,8487.0064,2160.3296,2026-06-16,PENDING
TRD00286,5,6,DERIVATIVE,SELL,547.8997,265.2769,2026-07-22,PENDING
TRD00287,4,6,BOND,BUY,3924.8534,2257.2684,2026-06-11,PENDING
TRD00288,5,10,EQUITY,BUY,9753.3199,1975.5795,2026-06-10,PENDING
TRD00289,6,9,BOND,BUY,2070.673,2550.5214,2026-07-11,PENDING
TRD00290,1,1,EQUITY,BUY,7164.5593,4021.7896,2026-06-04,PENDING
TRD00291,8,3,FX,SELL,9320.5505,1599.4649,2026-06-06,PENDING
TRD00292,10,5,BOND,SELL,7116.5241,1505.9549,2026-05-21,PENDING
TRD00293,1,6,BOND,BUY,9800.9905,2922.6737,2026-07-14,PENDING
TRD00294,15,1,DERIVATIVE,SELL,9673.9999,3916.6909,2026-07-11,PENDING
TRD00295,10,10,FX,BUY,5876.8804,860.8552,2026-07-09,PENDING
TRD00296,12,10,DERIVATIVE,BUY,8234.4468,1218.5608,2026-06-20,PENDING
TRD00297,12,2,FX,BUY,4466.2818,2099.7137,2026-06-13,PENDING
TRD00298,12,4,DERIVATIVE,SELL,8740.8953,3681.828,2026-05-23,PENDING
TRD00299,12,3,FX,SELL,9981.4164,2397.0712,2026-04-08,PENDING
TRD00300,6,3,DERIVATIVE,SELL,5508.1049,3382.5842,2026-05-19,PENDING
TRD00301,12,5,DERIVATIVE,BUY,9577.6402,1402.2419,2026-07-21,PENDING
TRD00302,4,5,BOND,BUY,6933.3751,2450.1254,2026-05-09,PENDING
TRD00303,6,9,BOND,SELL,1306.5536,3386.345,2026-06-01,PENDING
TRD00304,15,7,BOND,BUY,2975.4813,1445.2754,2026-05-19,PENDING
TRD00305,2,6,DERIVATIVE,SELL,7498.6511,1077.7942,2026-07-01,PENDING
TRD00306,9,5,BOND,BUY,1181.3432,3707.046,2026-07-15,PENDING
TRD00307,4,1,FX,BUY,619.662,2072.3738,2026-05-01,PENDING
TRD00308,8,2,FX,BUY,9648.7358,4889.7745,2026-07-01,PENDING
TRD00309,7,8,DERIVATIVE,BUY,7583.5195,1443.3527,2026-04-21,PENDING
TRD00310,11,1,EQUITY,BUY,5398.0075,3618.3572,2026-05-07,PENDING
TRD00311,1,3,DERIVATIVE,BUY,9345.8338,191.3358,2026-07-29,PENDING
TRD00312,7,8,FX,SELL,8779.7574,56.2432,2026-07-17,PENDING
TRD00313,10,2,BOND,SELL,4598.0559,3210.1489,2026-06-12,PENDING
TRD00314,8,3,DERIVATIVE,SELL,2008.8328,572.1073,2026-06-07,PENDING
TRD00315,12,8,BOND,BUY,239.4335,1692.1898,2026-04-21,PENDING
TRD00316,10,4,FX,SELL,8287.1993,2581.2505,2026-05-08,PENDING
TRD00317,7,2,FX,BUY,4826.7956,4679.7687,2026-04-12,PENDING
TRD00318,5,7,FX,SELL,7562.1909,4770.6338,2026-04-01,PENDING
TRD00319,10,10,EQUITY,SELL,6571.4653,3466.9153,2026-05-09,PENDING
TRD00320,11,2,DERIVATIVE,SELL,1681.1966,3433.5074,2026-04-08,PENDING
TRD00321,15,5,EQUITY,SELL,3738.6846,1112.0377,2026-07-28,PENDING
TRD00322,8,3,DERIVATIVE,SELL,4216.8716,2750.6802,2026-04-18,PENDING
TRD00323,13,9,FX,BUY,6835.385,2983.1142,2026-05-31,PENDING
